Cycle start time,Cycle end time,Cycle timezone,Workout start time,Workout end time,Duration (min),Activity name,Activity Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),HR Zone 1 %,HR Zone 2 %,HR Zone 3 %,HR Zone 4 %,HR Zone 5 %,GPS enabled,Distance (meters),Altitude gain (meters),Altitude change (meters)
2024-09-13 23:27:46,2024-09-14 23:57:37,UTC+02:00,2024-09-14 10:29:22,2024-09-14 11:19:10,49,Weightlifting,5.1,117.0,142,95,48,17,2,0,0,false,,,
2024-09-13 00:10:45,2024-09-13 23:27:46,UTC+02:00,2024-09-13 06:44:03,2024-09-13 07:21:58,37,Running,14.4,535.0,175,157,0,0,1,86,13,false,,,
2024-09-10 23:08:01,2024-09-12 00:10:52,UTC+02:00,2024-09-11 07:00:55,2024-09-11 08:08:44,67,Running,17.0,909.0,182,153,0,6,9,62,23,false,,,
2024-09-10 00:17:01,2024-09-10 23:08:01,UTC+02:00,2024-09-10 06:38:19,2024-09-10 07:28:05,49,Weightlifting,4.5,78.0,122,87,39,3,0,0,0,false,,,
2024-09-08 23:50:11,2024-09-10 00:17:01,UTC+02:00,2024-09-09 20:51:14,2024-09-09 21:49:09,57,Running,16.8,833.0,191,158,0,0,3,77,20,false,,,
2024-09-07 23:45:45,2024-09-08 23:50:11,UTC+02:00,2024-09-08 11:13:20,2024-09-08 11:52:10,38,Swimming,12.6,418.0,172,140,6,22,15,55,2,false,,,
2024-09-07 00:28:26,2024-09-07 23:45:45,UTC+02:00,2024-09-07 18:39:21,2024-09-07 19:53:26,74,Running,16.2,872.0,174,144,4,15,23,45,13,false,,,
2024-09-07 00:28:26,2024-09-07 23:45:45,UTC+02:00,2024-09-07 17:39:29,2024-09-07 18:34:58,55,Running,17.9,876.0,182,165,0,0,3,29,68,false,,,
2024-09-07 00:28:26,2024-09-07 23:45:45,UTC+02:00,2024-09-07 10:25:51,2024-09-07 11:06:26,40,Weightlifting,5.7,141.0,156,101,43,26,5,1,0,false,,,
2024-09-05 23:31:57,2024-09-07 00:28:26,UTC+02:00,2024-09-06 06:37:10,2024-09-06 07:31:58,54,Weightlifting,,,,,,,,,,false,,,
2024-09-04 23:18:38,2024-09-05 23:31:57,UTC+02:00,2024-09-05 07:07:39,2024-09-05 08:05:01,57,Running,15.4,736.0,180,150,1,2,23,63,11,false,,,
2024-09-03 22:17:38,2024-09-04 22:18:38,UTC+01:00,2024-09-04 06:12:30,2024-09-04 07:10:32,58,Running,16.2,804.0,180,155,0,0,7,88,5,false,,,
2024-09-03 00:08:22,2024-09-03 22:17:38,UTC+01:00,2024-09-03 06:40:31,2024-09-03 07:20:57,40,Weightlifting,5.9,148.0,131,103,60,33,0,0,0,false,,,
2024-09-01 00:42:38,2024-09-02 00:35:26,UTC+02:00,2024-09-01 11:04:39,2024-09-01 12:58:55,114,Running,19.3,1502.0,180,151,1,9,14,53,23,false,,,
2024-08-31 01:01:09,2024-09-01 00:42:38,UTC+02:00,2024-08-31 10:12:05,2024-08-31 11:15:48,63,Weightlifting,5.3,146.0,127,92,42,14,0,0,0,false,,,
2024-08-30 00:26:19,2024-08-31 01:01:09,UTC+02:00,2024-08-30 15:15:00,2024-08-30 15:29:59,14,Walking,4.6,53.0,113,103,99,1,0,0,0,false,,,
2024-08-30 00:26:19,2024-08-31 01:01:09,UTC+02:00,2024-08-30 07:03:39,2024-08-30 08:05:11,61,Running,16.8,852.0,182,155,0,4,12,53,31,false,,,
2024-08-28 00:14:21,2024-08-29 00:20:37,UTC+02:00,2024-08-28 08:34:08,2024-08-28 09:20:23,46,Weightlifting,0.0,52.0,117,78,4,0,0,0,0,false,,,
2024-08-28 00:14:21,2024-08-29 00:20:37,UTC+02:00,2024-08-28 07:34:08,2024-08-28 08:20:23,46,Weightlifting,0.4,53.0,103,82,13,0,0,0,0,false,,,
2024-08-27 00:18:58,2024-08-28 00:14:21,UTC+02:00,2024-08-27 09:19:48,2024-08-27 10:16:23,56,Weightlifting,2.8,65.0,113,75,6,0,0,0,0,false,,,
2024-08-27 00:18:58,2024-08-28 00:14:21,UTC+02:00,2024-08-27 08:19:48,2024-08-27 09:16:23,56,Weightlifting,4.1,68.0,112,82,19,0,0,0,0,false,,,
2024-08-26 01:30:55,2024-08-27 00:18:58,UTC+02:00,2024-08-26 10:07:07,2024-08-26 11:06:55,59,Running,16.2,809.0,175,153,0,1,17,69,13,false,,,
2024-08-26 01:30:55,2024-08-27 00:18:58,UTC+02:00,2024-08-26 09:36:45,2024-08-26 09:49:28,12,Swimming,8.0,156.0,173,147,0,4,47,42,7,false,,,
2024-08-25 00:18:28,2024-08-26 01:30:55,UTC+02:00,2024-08-25 17:16:02,2024-08-25 17:39:55,23,Weightlifting,4.1,35.0,124,86,36,3,0,0,0,false,,,
2024-08-24 00:53:55,2024-08-25 00:18:28,UTC+02:00,2024-08-24 07:46:12,2024-08-24 09:26:50,100,Running,18.5,1349.0,174,153,0,2,15,71,12,false,,,
2024-08-23 01:48:12,2024-08-24 00:53:55,UTC+02:00,2024-08-23 11:23:33,2024-08-23 12:09:08,45,Swimming,12.9,515.0,169,142,0,17,33,50,0,false,,,
2024-08-23 01:48:12,2024-08-24 00:53:55,UTC+02:00,2024-08-23 11:16:46,2024-08-23 11:22:04,5,Swimming,4.7,44.0,153,128,3,35,58,4,0,false,,,
2024-08-22 01:27:30,2024-08-23 01:48:12,UTC+02:00,2024-08-22 08:32:29,2024-08-22 09:24:13,51,Running,17.5,813.0,184,164,0,0,3,44,53,false,,,
2024-08-21 01:38:03,2024-08-22 01:27:30,UTC+02:00,2024-08-21 10:47:48,2024-08-21 12:16:03,88,Weightlifting,4.1,105.0,115,79,20,0,0,0,0,false,,,
2024-08-20 01:04:35,2024-08-21 01:38:03,UTC+02:00,2024-08-20 10:15:46,2024-08-20 10:55:20,39,Swimming,13.0,491.0,165,149,0,0,22,78,0,false,,,
2024-08-17 00:39:58,2024-08-18 00:51:58,UTC+02:00,2024-08-17 17:43:40,2024-08-17 19:12:44,89,Weightlifting,6.5,253.0,140,98,34,35,1,0,0,false,,,
2024-08-13 21:56:58,2024-08-14 23:57:54,UTC+02:00,2024-08-14 08:00:44,2024-08-14 08:50:51,50,Running,16.0,727.0,179,158,0,0,5,74,21,false,,,
2024-08-13 21:56:58,2024-08-14 23:57:54,UTC+02:00,2024-08-14 07:17:53,2024-08-14 07:55:49,37,Weightlifting,4.2,51.0,116,88,45,1,0,0,0,false,,,
