date,training_load,totalDistanceMeters,floorsAscendedInMeters,sleepingSeconds,bodyBatteryMostRecentValue,averageStressLevel,restingHeartRate,maxHeartRate,intensityMinutes,activeKilocalories,totalSteps,floorsAscended,5K_prediction,10K_prediction,HalfMarathon_prediction,Marathon_prediction,sleep_score,CTL,ATL,TSB
2024-05-19,216.5604553222656,26362.0,206.215,25518.0,31.0,24.0,46.0,160.0,0.0,1469.0,25447.0,67.65584,0:19,0:41,1:32,3:35,83.0,84.9,107.0,-22.2
2024-05-20,0.0,1996.0,2.127,28260.0,42.0,17.0,48.0,103.0,0.0,58.0,2551.0,0.69783,0:19,0:41,1:33,3:35,93.0,82.9,92.8,-9.9
2024-05-21,24.17817687988281,6332.0,24.63,21180.0,34.0,26.0,50.0,142.0,0.0,501.0,7974.0,8.08071,0:19,0:41,1:33,3:37,71.0,81.5,83.6,-2.2
2024-05-22,180.7515106201172,17315.0,71.3,21178.0,20.0,30.0,48.0,171.0,0.0,895.0,16687.0,23.39239,0:19,0:41,1:33,3:37,74.0,83.8,96.6,-12.8
2024-05-23,10.458267211914062,4542.0,27.572,24960.0,13.0,38.0,49.0,125.0,0.0,442.0,5773.0,9.04593,0:19,0:41,1:33,3:37,86.0,82.1,85.1,-3.0
2024-05-24,139.4729461669922,14537.0,73.35,19020.0,5.0,42.0,53.0,169.0,0.0,911.0,15146.0,24.06496,0:19,0:41,1:33,3:37,59.0,83.4,92.3,-8.9
2024-05-25,0.0,3120.0,2.038,25710.0,25.0,26.0,53.0,110.0,0.0,99.0,3980.0,0.66864,0:19,0:41,1:33,3:37,79.0,81.5,80.1,1.4
2024-05-26,498.9851837158203,30436.0,140.41400000000002,19581.0,5.0,40.0,47.0,188.0,0.0,1702.0,29279.0,46.06759,0:19,0:41,1:33,3:37,71.0,91.3,135.8,-44.5
2024-05-27,0.0,4440.0,19.139,21780.0,27.0,25.0,54.0,103.0,0.0,147.0,5669.0,6.2792,0:19,0:41,1:33,3:37,72.0,89.2,117.7,-28.6
2024-05-28,144.4453125,11981.0,400.818,24470.0,15.0,33.0,49.0,186.0,0.0,894.0,13189.0,131.50197,0:19,0:41,1:33,3:38,80.0,90.5,121.3,-30.8
2024-05-29,11.909088134765623,5381.0,31.216,22740.0,25.0,30.0,53.0,127.0,0.0,421.0,6876.0,10.24147,0:19,0:41,1:33,3:37,81.0,88.6,106.7,-18.1
2024-05-30,0.0,2848.0,12.192,0.0,27.0,26.0,54.0,106.0,0.0,67.0,3617.0,4.0,0:19,0:41,1:33,3:37,0.0,86.5,92.5,-6.0
2024-05-31,169.98910522460938,14874.0,64.202,23520.0,5.0,41.0,54.0,162.0,0.0,806.0,14639.0,21.06365,0:19,0:41,1:33,3:37,73.0,88.5,102.8,-14.3
2024-06-01,152.1382293701172,13502.0,80.107,22523.0,5.0,46.0,52.0,172.0,0.0,1047.0,13586.0,26.28182,0:19,0:41,1:33,3:37,75.0,90.0,109.4,-19.4
2024-06-02,341.6607971191406,12556.0,537.907,32758.0,11.0,36.0,51.0,174.0,0.0,1169.0,13509.0,176.47867,0:19,0:40,1:33,3:37,83.0,95.9,140.3,-44.4
2024-06-03,0.0,3984.0,17.028,27222.0,27.0,27.0,51.0,113.0,0.0,172.0,5091.0,5.58661,0:19,0:40,1:33,3:37,73.0,93.7,121.6,-28.0
2024-06-04,7.5954437255859375,4031.0,4.033,25020.0,31.0,26.0,49.0,123.0,0.0,307.0,5142.0,1.32316,0:19,0:40,1:33,3:37,62.0,91.6,106.5,-14.8
2024-06-05,160.20126342773438,13598.0,44.68,23400.0,21.0,28.0,46.0,167.0,0.0,783.0,12879.0,14.65879,0:19,0:40,1:33,3:37,86.0,93.2,113.6,-20.4
2024-06-06,139.5715789794922,14349.0,92.504,24780.0,17.0,32.0,47.0,165.0,0.0,813.0,13826.0,30.34908,0:19,0:40,1:33,3:37,88.0,94.3,117.1,-22.7
2024-06-07,171.3450164794922,15965.0,108.257,24219.0,5.0,43.0,52.0,167.0,0.0,925.0,15807.0,35.51739,0:19,0:40,1:33,3:37,56.0,96.1,124.3,-28.2
2024-06-08,12.580398559570312,5396.0,16.839,29520.0,12.0,33.0,52.0,131.0,0.0,457.0,6876.0,5.52461,0:19,0:40,1:33,3:37,69.0,94.2,109.4,-15.2
2024-06-09,276.2928466796875,20808.0,324.608,30480.0,5.0,43.0,51.0,174.0,0.0,1408.0,19940.0,106.49869,0:19,0:40,1:33,3:37,90.0,98.5,131.6,-33.2
2024-06-10,0.0,5681.0,19.133,20739.0,7.0,34.0,54.0,117.0,0.0,285.0,7226.0,6.27723,0:19,0:41,1:34,3:38,44.0,96.1,114.1,-18.0
2024-06-11,218.6220092773437,17404.0,48.768,18649.0,12.0,29.0,48.0,163.0,0.0,1026.0,17146.0,16.0,0:19,0:40,1:34,3:38,69.0,99.0,128.0,-29.0
2024-06-12,0.0,4833.0,10.009,20661.0,34.0,24.0,48.0,106.0,0.0,177.0,6176.0,3.28379,0:19,0:40,1:34,3:38,73.0,96.7,111.0,-14.3
2024-06-13,2.3807373046875,3646.0,7.691,23460.0,34.0,20.0,48.0,114.0,0.0,197.0,4659.0,2.52329,0:19,0:40,1:34,3:38,81.0,94.5,96.5,-2.0
2024-06-14,1.988739013671875,4747.0,17.592,22620.0,21.0,26.0,48.0,102.0,0.0,198.0,6066.0,5.77165,0:19,0:40,1:34,3:38,83.0,92.3,83.9,8.4
2024-06-15,5.764175415039063,32716.0,17.192,25320.0,9.0,38.0,52.0,141.0,0.0,854.0,9414.0,5.64042,0:19,0:40,1:34,3:38,81.0,90.3,73.5,16.7
2024-06-16,29.138458251953125,10396.0,372.276,28080.0,16.0,34.0,50.0,140.0,0.0,754.0,15542.0,122.1378,0:19,0:41,1:34,3:39,89.0,88.8,67.6,21.2
2024-06-17,78.16342163085938,20500.0,35.309,26516.0,21.0,32.0,49.0,151.0,0.0,618.0,7839.0,11.58432,0:19,0:40,1:34,3:39,80.0,88.6,69.0,19.5
2024-06-18,7.178558349609375,4541.0,0.0,22200.0,28.0,24.0,50.0,132.0,0.0,362.0,5803.0,0.0,0:19,0:40,1:34,3:39,71.0,86.7,60.8,25.9
2024-06-19,0.0,5112.0,23.692,25020.0,37.0,20.0,46.0,107.0,0.0,166.0,6532.0,7.77297,0:19,0:41,1:34,3:39,80.0,84.6,52.7,31.9
2024-06-20,13.99127197265625,4690.0,7.036,24900.0,25.0,30.0,47.0,124.0,0.0,408.0,5993.0,2.3084,0:19,0:41,1:34,3:40,84.0,83.0,47.5,35.4
2024-06-21,108.08248901367188,7466.0,54.864,25320.0,17.0,15.0,46.0,152.0,0.0,445.0,6603.0,18.0,0:19,0:41,1:34,3:40,82.0,83.6,55.6,27.9
2024-06-22,44.60466003417969,5535.0,27.432,30360.0,11.0,39.0,51.0,141.0,0.0,622.0,5588.0,9.0,0:19,0:41,1:35,3:40,84.0,82.6,54.1,28.5
2024-06-23,0.0,25979.0,8.115,28860.0,15.0,33.0,47.0,140.0,0.0,685.0,10228.0,2.6624,0:19,0:41,1:35,3:42,82.0,80.7,46.9,33.8
2024-06-24,5.88885498046875,18113.0,6.884,22080.0,22.0,25.0,47.0,130.0,0.0,544.0,7030.0,2.25853,0:19,0:41,1:35,3:42,77.0,78.9,41.5,37.5
2024-06-25,54.32171630859375,7633.0,21.758,24360.0,21.0,34.0,48.0,144.0,0.0,534.0,7657.0,7.13845,0:20,0:42,1:38,3:47,78.0,78.4,43.2,35.2
2024-06-26,185.83709716796875,16358.0,63.119,22920.0,11.0,36.0,48.0,172.0,0.0,877.0,16534.0,20.70833,0:19,0:41,1:35,3:42,81.0,80.9,62.2,18.7
2024-06-27,0.0,25286.0,3.661,24921.0,34.0,26.0,51.0,163.0,0.0,451.0,4371.0,1.20112,0:19,0:41,1:35,3:42,73.0,79.0,53.9,25.1
2024-06-28,178.97698974609375,13161.0,82.296,25822.0,19.0,34.0,50.0,170.0,0.0,724.0,12553.0,27.0,0:19,0:41,1:35,3:41,79.0,81.3,70.5,10.8
2024-06-29,6.73333740234375,6812.0,5.403,22440.0,18.0,44.0,52.0,120.0,0.0,578.0,8657.0,1.77264,0:19,0:41,1:35,3:42,49.0,79.6,62.1,17.5
2024-06-30,29.340728759765625,7017.0,12.192,0.0,7.0,53.0,53.0,137.0,0.0,807.0,7415.0,4.0,0:19,0:41,1:36,3:42,0.0,78.4,57.7,20.7
2024-07-01,233.62872314453125,16496.0,71.414,24078.0,16.0,29.0,49.0,178.0,0.0,950.0,15950.0,23.42979,0:19,0:41,1:36,3:43,64.0,82.0,81.1,0.9
2024-07-02,15.705429077148438,4656.0,13.958,27060.0,34.0,27.0,52.0,128.0,0.0,475.0,5939.0,4.5794,0:19,0:41,1:36,3:44,80.0,80.5,72.4,8.1
2024-07-03,224.14010620117188,19431.0,91.673,21720.0,9.0,40.0,48.0,178.0,0.0,1121.0,19280.0,30.07644,0:19,0:41,1:36,3:44,77.0,83.9,92.6,-8.7
2024-07-04,0.0,11840.0,0.0,27780.0,19.0,31.0,51.0,154.0,0.0,279.0,3734.0,0.0,0:19,0:41,1:36,3:45,87.0,81.9,80.3,1.6
2024-07-05,32.63221740722656,2949.0,3.048,22620.0,5.0,45.0,54.0,145.0,0.0,658.0,6218.0,1.0,0:19,0:41,1:37,3:47,72.0,80.7,73.9,6.8
2024-07-06,67.18658447265625,2752.0,3.048,30269.0,14.0,34.0,51.0,149.0,0.0,794.0,5508.0,1.0,0:19,0:41,1:37,3:47,74.0,80.4,73.0,7.4
2024-07-07,197.4424591064453,18637.0,432.816,27420.0,5.0,42.0,48.0,173.0,0.0,1697.0,21495.0,142.0,0:19,0:41,1:36,3:44,89.0,83.2,89.6,-6.4
2024-07-08,0.0,30286.0,0.0,27194.0,24.0,25.0,50.0,169.0,0.0,668.0,4903.0,0.0,0:19,0:41,1:36,3:45,73.0,81.2,77.7,3.5
2024-07-09,5.104644775390625,1010.0,6.478,23100.0,22.0,27.0,52.0,116.0,0.0,294.0,4438.0,2.12533,0:19,0:41,1:37,3:45,79.0,79.4,68.0,11.4
2024-07-10,182.5615692138672,11253.0,91.673,25762.0,24.0,30.0,51.0,166.0,0.0,798.0,12229.0,30.07644,0:19,0:41,1:37,3:46,81.0,81.8,83.3,-1.4
2024-07-11,0.0,766.0,9.144,25950.0,28.0,25.0,51.0,96.0,0.0,92.0,3337.0,3.0,0:19,0:41,1:37,3:47,81.0,79.9,72.2,7.7
2024-07-12,195.3409423828125,11744.0,50.729,23820.0,12.0,36.0,53.0,166.0,0.0,916.0,13464.0,16.64337,0:19,0:41,1:37,3:47,81.0,82.6,88.6,-5.9
